gen1_geo_id,gen3_geo_id
1152922604118476033,1513209474796487936
1152922604118476289,1513209474796488192
1152922604118476545,1513209474796488448
1152922604118476801,1513209474796488704
1152922604118477057,1513209474796488960
1152922604118477313,1513209474796489216
1152922604118477569,1513209474796489472
1152922604118477825,1513209474796489728
1152922604118478081,1513209474796489984
1152922604118478337,1513209474796490240
1152922604118478593,1513209474796490496
1152922604118478849,1513209474796490752
1152922604118479105,1513209474796491008
1152922604118479361,1513209474796491264
1152922604118479617,1513209474796491520
1152922604118479873,1513209474796491776
1152922604118480129,1513209474796492032
1152922604118480385,1513209474796492288
1152922604118480641,1513209474796492544
1152922604118480897,1513209474796492800
1152922604118481154,1513209474796493056
1152922604118481410,1513209474796493312
1152922604118481666,1513209474796493568
1152922604118481922,1513209474796493824
1152922604118482178,1513209474796494080
1152922604118482434,1513209474796494336
1152922604118482690,1513209474796494592
1152922604118482946,1513209474796494848
1152922604118483202,1513209474796495104
1152922604118483458,1513209474796495360
1152922604118483714,1513209474796495616
1152922604118483970,1513209474796495872
1152922604118484226,1513209474796496128
1152922604118484482,1513209474796496384
1152922604118484738,1513209474796496640
1152922604118484994,1513209474796496896
1152922604118485250,1513209474796497152
1152922604118485506,1513209474796497408
1152922604118485762,1513209474796497664
1152922604118486018,1513209474796497920
1152922604118486274,1513209474796498176
1152922604118486530,1513209474796498432
1152922604118486786,1513209474796498688
1152922604118487042,1513209474796498944
1152922604118487298,1513209474796499200
1152922604118487554,1513209474796499456
1152922604118487810,1513209474796499712
1152922604118488066,1513209474796499968
1152922604118488322,1513209474796500224
1152922604118488578,1513209474796500480
1152922604118488834,1513209474796500736
1152922604118489090,1513209474796500992
1152922604118489346,1513209474796501248
1152922604118489602,1513209474796501504
1152922604118489858,1513209474796501760
1152922604118490114,1513209474796502016
1224979236083728640,648518346341351680
1224979236083728896,648518346341351936
1224979236083729152,648518346341352192
1224979236083729408,648518346341352448
1224979236083729664,648518346341352704
1224979236083729920,648518346341352960
1224979236083730176,648518346341353216
1224979236083730432,648518346341353472
1224979236083730688,648518346341353728
1224979236083730944,648518346341353984
1224979236083731200,648518346341354240
1224979236083731456,648518346341354496
1224979236083731712,648518346341354752
1224979236083731968,648518346341355008
1224979236083732224,648518346341355264
1224979236083732480,648518346341355520
1224979236083732736,648518346341355776
1224979236083732992,648518346341356032
1224979236083733248,648518346341356288
1224979236083733504,648518346341356544
1224979236083733760,648518346341356800
1224979236083734016,648518346341357056
1224979236083734272,648518346341357312
1224979236083734528,648518346341357568
1224979236083734784,648518346341357824
1224979236083735040,648518346341358080
1224979236083735296,648518346341358336
1224979236083735552,648518346341358592
1224979236083735808,648518346341358848
1224979236083736064,648518346341359104
1224979236083736320,648518346341359360
1224979236083736576,648518346341359616
1224979236083736832,648518346341359872
1224979236083737088,648518346341360128
1224979236083737344,648518346341360384
1224979236083737600,648518346341360640
1224979236083737856,648518346341360896
1224979236083738112,648518346341361152
1224979236083738368,648518346341361408
1224979236083738624,648518346341361664
1224979236083738880,648518346341361920
1224979236083739136,648518346341362176
1224979236083739392,648518346341362432
1224979236083739648,648518346341362688
1224979236083739904,648518346341362944
1224979236083740160,648518346341363200
1224979236083740416,648518346341363456
1224979236083740672,648518346341363712
1224979236083740928,648518346341363968
1224979236083741184,648518346341364224
1224979236083741440,648518346341364480
1224979236083741696,648518346341364736
1224979236083741952,648518346341364992
1224979236083742208,648518346341365248
1224979236083742464,648518346341365504
1224979236083742720,648518346341365760
1224979236083742976,648518346341366016
1224979236083743232,648518346341366272
1224979236083743488,648518346341366528
1224979236083743744,648518346341366784
1224979236083744000,648518346341367040
1224979236083744256,648518346341367296
1224979236083744512,648518346341367552
1224979236083744768,648518346341367808
1224979236083745024,648518346341368064
1224979236083745280,648518346341368320
1224979236083745536,648518346341368576
1224979236083745792,648518346341368832
1224979236083746048,648518346341369088
1224979236083746304,648518346341369344
1224979236083746560,648518346341369600
1224979236083746816,648518346341369856
1224979236083747072,648518346341370112
1224979236083747328,648518346341370368
1224979236083747584,648518346341370624
1224979236083747840,648518346341370880
1224979236083748096,648518346341371136
1224979236083748352,648518346341371392
1224979236083748608,648518346341371648
1224979236083748864,648518346341371904
1224979236083749120,648518346341372160
1224979236083749376,648518346341372416
1224979236083749632,648518346341372672
1224979236083749888,648518346341372928
1224979236083750144,648518346341373184
1224979236083750400,648518346341373440
1224979236083750656,648518346341373696
1224979236083750912,648518346341373952
1224979236083751168,648518346341374208
1224979236083751424,648518346341374464
1224979236083751680,648518346341374720
1224979236083751936,648518346341374976
1224979236083752192,648518346341375232
1224979236083752448,648518346341375488
1224979236083752704,648518346341375744
1224979236083752960,648518346341376000
1224979236083753216,648518346341376256
1224979236083753472,648518346341376512
1224979236083753728,648518346341376768
1224979236083753984,648518346341377024
1224979236083754240,648518346341377280
1224979236083754496,648518346341377536
1224979236083754752,648518346341377792
1224979236083755008,648518346341378048
1224979236083755264,648518346341378304
1224979236083755520,648518346341378560
1224979236083755776,648518346341378816
1224979236083756032,648518346341379072
1224979236083756288,648518346341379328
1224979236083756544,648518346341379584
1224979236083756800,648518346341379840
1224979236083757056,648518346341380096
